Event Name,Athlete Name,Team,Mark,Event Type
3000,"Valenzuela, Abraham",Pima CC (M),8:30.01,Individual
5000,"Rasoumoff, Evan",Pima CC (M),15:55.05,Individual
60H,"Patterson, Nicholas",Pima CC (M),8.41@,Individual
4x400,"Jordan Cortner, Alex Gallego, Braxton Hinton, Nasir Tucker",Pima CC (M),3:22.36@,Relay
4x800,"Louis Madrigal- Diaz, Evan Rasoumoff, Caelan Pando, Wyatt Preble",Pima CC (M),7:50.86,Relay
DMR,"Louis Madrigal- Diaz, Alex Gallego, Wyatt Preble, Abraham Valenzuela",Pima CC (M),10:01.73,Relay
HJ,"Curtiss, Nathaniel",Pima CC (M),2.14m,Individual
PV,"Lewis, Kolby",Pima CC (M),4.69m,Individual
LJ,"Weatherspoon, Raekwon",Pima CC (M),7.55m,Individual
TJ,"Gonzalez-Cockrell, Kayden",Pima CC (M),14.55m,Individual
SP,"Garcia, Jacob",Pima CC (M),11.80m,Individual
WT,"Garcia, Jacob",Pima CC (M),13.39m,Individual
Hep,"Arvayo, Dillon",Pima CC (M),4666,Individual
60,"Hereim, Naiomi",Pima CC (F),8.00,Individual
200,"Bethea, Trinity",Pima CC (F),25.72,Individual
400,"Bethea, Trinity",Pima CC (F),57.72,Individual
800,"Danoff, Reatta",Pima CC (F),2:24.19@,Individual
1000,"Danoff, Reatta",Pima CC (F),3:11.67,Individual
Mile,"Danoff, Reatta",Pima CC (F),5:30.01,Individual
5000,"Danoff, Reatta",Pima CC (F),19:31.87,Individual
60H,"Blanchard, Larissa",Pima CC (F),8.82,Individual
4x400,"Naiomi Hereim, Tianna Mosley, Maylee Thompson, Tayler Crane",Pima CC (F),4:18.91,Relay
DMR,"Linda Rivero, Tayler Crane, Alyssa Perez, Reatta Danoff",Pima CC (F),12:43.25,Relay
HJ,"Necaise, April",Pima CC (F),1.67m,Individual
PV,"Roberts, Brianne",Pima CC (F),2.96m,Individual
LJ,"Thompson, Maylee",Pima CC (F),5.54m,Individual
TJ,"Mosley, Tianna",Pima CC (F),12.10m,Individual
SP,"Magnani, Kapualani",Pima CC (F),11.42m,Individual
WT,"Arvayo, Annika",Pima CC (F),14.99m,Individual
Pent,"Thompson, Maylee",Pima CC (F),3002,Individual
60,"Butler, Deonald",Ranger CC (M),7.25,Individual
200,"Butler, Deonald",Ranger CC (M),23.25@,Individual
400,"Galvan, Tristan",Ranger CC (M),51.00,Individual
600,"Harvey, Rai'Mond",Ranger CC (M),1:23.88,Individual
600y,"Harvey, Rai'Mond",Ranger CC (M),1:15.56,Individual
800,"Harvey, Dai'Mond",Ranger CC (M),2:05.10,Individual
Mile,"Vazquez-Rosas, Victor",Ranger CC (M),4:32.26,Individual
3000,"Vazquez-Rosas, Victor",Ranger CC (M),9:23.79,Individual
4x400,"Tristan Galvan, Rai'Mond Harvey, Paul Barmao, Jacobi Fields",Ranger CC (M),3:29.21@,Relay
60,"Perez, Ashlynn",Ranger CC (F),8.33@,Individual
200,"Kemp, Breyanna",Ranger CC (F),26.50@,Individual
400,"Kemp, Breyanna",Ranger CC (F),1:02.10@,Individual
600y,"Barrett, Ashlynn",Ranger CC (F),1:30.83,Individual
800,"Barrett, Ashlynn",Ranger CC (F),2:28.22,Individual
Mile,"Greenzweig, Myla",Ranger CC (F),6:15.98@,Individual
3000,"Greenzweig, Myla",Ranger CC (F),12:58.93@,Individual
55,"Remy, Gabe",Utah Valley (M),6.33,Individual
60,"Remy, Gabe",Utah Valley (M),6.71@,Individual
200,"Thompson, Kade",Utah Valley (M),21.17@,Individual
300,"Franklin, Cameron",Utah Valley (M),36.00,Individual
400,"Franklin, Cameron",Utah Valley (M),47.98@,Individual
500,"Archer, Isaiah",Utah Valley (M),1:06.02,Individual
600,"Biggins, Matt",Utah Valley (M),1:32.11,Individual
600y,"Archer, Isaiah",Utah Valley (M),1:13.14,Individual
800,"Archer, Isaiah",Utah Valley (M),1:52.10@,Individual
1000,"Pickford, Thomas",Utah Valley (M),2:43.82,Individual
Mile,"Farah, Abdulsalam",Utah Valley (M),4:05.27@,Individual
3000,"Hone, Austin",Utah Valley (M),8:17.72@,Individual
5000,"Hone, Austin",Utah Valley (M),14:43.00,Individual
55H,"Berkey, Neal",Utah Valley (M),7.74,Individual
60H,"Berkey, Neal",Utah Valley (M),8.36@(55),Individual
4x400,"Dallin Anderson, Cameron Franklin, Brayden Walker, Isaiah Archer",Utah Valley (M),3:14.27@,Relay
DMR,"Thomas Pickford, Isaiah Archer, Pierce Vittone, Caleb Ream",Utah Valley (M),10:04.65@,Relay
HJ,"Garnett, Aiden",Utah Valley (M),2.08m,Individual
PV,"Peterson, Noah",Utah Valley (M),5.10m,Individual
LJ,"Berkey, Neal",Utah Valley (M),7.15m,Individual
SP,"Smith, Andrew",Utah Valley (M),16.05m,Individual
WT,"Kleinman, Austin",Utah Valley (M),17.42m,Individual
Hep,"Berkey, Neal",Utah Valley (M),5370,Individual
55,"Ballard, Sarah",Utah Valley (F),7.20,Individual
60,"Ballard, Sarah",Utah Valley (F),7.58@,Individual
200,"Ballard, Sarah",Utah Valley (F),24.85@,Individual
300,"Hopper, Ella",Utah Valley (F),40.38,Individual
400,"Dabb, Larissa",Utah Valley (F),55.74@,Individual
500,"Swanson-Lowder, Becky",Utah Valley (F),1:18.43,Individual
600y,"Swanson-Lowder, Becky",Utah Valley (F),1:31.25,Individual
800,"Morden, Emily",Utah Valley (F),2:15.97@,Individual
Mile,"Nokes, Morgan",Utah Valley (F),4:46.56#@,Individual
3000,"Nokes, Morgan",Utah Valley (F),9:30.17@,Individual
5000,"Nokes, Morgan",Utah Valley (F),16:18.57@,Individual
55H,"McEuen, Kali",Utah Valley (F),8.27,Individual
60H,"McEuen, Kali",Utah Valley (F),8.80@,Individual
4x400,"Kali McEuen, Ella Hopper, Sarah Ballard, Larissa Dabb",Utah Valley (F),3:45.92@,Relay
DMR,"Becky Swanson-Lowder, Olivia Larsen, Oakley Olson, Morgan Nokes",Utah Valley (F),11:43.32#@,Relay
HJ,"Potter, Anaya",Utah Valley (F),1.71m,Individual
PV,"Williams, Grace",Utah Valley (F),3.62m,Individual
LJ,"Oldroyd, Kelsi",Utah Valley (F),5.91m,Individual
TJ,"Pixton, Olivia",Utah Valley (F),11.96m,Individual
SP,"Logan, Alyssa",Utah Valley (F),12.53m,Individual
WT,"Logan, Alyssa",Utah Valley (F),17.20m,Individual
Pent,"Farrer, Madison",Utah Valley (F),3626,Individual
60,"Jagne, Ousman",Mesa CC (M),6.73@,Individual
200,"Brown, Darius",Mesa CC (M),21.29,Individual
300,"Jackson, Eli",Mesa CC (M),35.27,Individual
400,"Jagne, Ousman",Mesa CC (M),48.71,Individual
600,"Green, Samuel",Mesa CC (M),1:20.10,Individual
800,"Green, Ernest",Mesa CC (M),1:51.64@,Individual
1000,"Green, Samuel",Mesa CC (M),2:30.67,Individual
Mile,"Green, Samuel",Mesa CC (M),4:13.69,Individual
3000,"Trujillo, Jorge",Mesa CC (M),8:47.26@,Individual
5000,"Williams , Wyatt",Mesa CC (M),15:53.43,Individual
60H,"Torres, Ricardo",Mesa CC (M),8.19@,Individual
4x400,"Jalen Bradford, Jovani Rivera, Darius Brown, Ousman Jagne",Mesa CC (M),3:13.90,Relay
4x800,,Mesa CC (M),7:34.34,Relay
DMR,"Gabriel Gonzales, Jalen Bradford, Sammy Vanalstine, Jorge Trujillo",Mesa CC (M),10:18.27,Relay
HJ,"Runge, Craig",Mesa CC (M),1.88m,Individual
PV,"Jacobson, Nathan",Mesa CC (M),4.45m,Individual
LJ,"Reed, Jeremiah",Mesa CC (M),7.35m,Individual
TJ,"Anway, Jackson",Mesa CC (M),12.59m,Individual
SP,"John, Austin",Mesa CC (M),12.53m,Individual
WT,"John, Austin",Mesa CC (M),14.39m,Individual
Hep,"Runge, Bradley",Mesa CC (M),4676,Individual
60,"Turner, Deshay",Mesa CC (F),7.58@,Individual
200,"Turner, Deshay",Mesa CC (F),24.49@,Individual
300,"Turner, Deshay",Mesa CC (F),40.25,Individual
400,"Turner, Deshay",Mesa CC (F),56.75,Individual
600,"Jacobs , Taylor",Mesa CC (F),1:32.08,Individual
800,"Ross, Maliyah",Mesa CC (F),2:19.72@,Individual
1000,"Jacobs , Taylor",Mesa CC (F),3:05.67,Individual
Mile,"Baldwin, Carmella",Mesa CC (F),5:14.55,Individual
3000,"Baldwin, Carmella",Mesa CC (F),10:33.95@,Individual
5000,"Baldwin, Carmella",Mesa CC (F),18:19.08,Individual
60H,"Hennix, Marisa",Mesa CC (F),9.10@,Individual
4x400,"Deshay Turner, Diane Ondobo, Reanna Campbell, Taylor Jacobs",Mesa CC (F),3:48.13,Relay
4x800,"Kendra Guest, Natalia Brzezniak, Danna Martinez Porras, Maliyah Ross",Mesa CC (F),9:43.62,Relay
DMR,"Kendra Guest, Diane Ondobo, Taylor Jacobs, Carmella Baldwin",Mesa CC (F),12:58.97,Relay
HJ,"Ross, Maliyah",Mesa CC (F),1.58m,Individual
PV,"Nipper, Sarah",Mesa CC (F),3.41m,Individual
LJ,"Ross, Maliyah",Mesa CC (F),5.69m,Individual
TJ,"Hennix, Marisa",Mesa CC (F),11.45m,Individual
SP,"Tucker, Maleah",Mesa CC (F),11.80m,Individual
WT,"Glass, Seioriana",Mesa CC (F),15.15m,Individual
Pent,"Ross, Maliyah",Mesa CC (F),3524,Individual
60,"Christensen, Mekhi",Alfred State (M),6.95,Individual
200,"Florczak, Nicholas",Alfred State (M),22.82#,Individual
300,"Okafor, Chimaij",Alfred State (M),38.34,Individual
400,"Clark, Brian",Alfred State (M),52.20#,Individual
600,"Scroxton, Eddie",Alfred State (M),1:25.88,Individual
800,"Barry, Mamadou",Alfred State (M),2:01.13#,Individual
1000,"Chiarella, Maxwell",Alfred State (M),2:50.23,Individual
Mile,"Zielinski, Andrew",Alfred State (M),4:39.69#,Individual
3000,"Zielinski, Andrew",Alfred State (M),10:03.33#,Individual
5000,"Riley, Carter",Alfred State (M),19:09.65#,Individual
60H,"Brown, Kyle",Alfred State (M),11.32,Individual
4x200,"Nicholas Florczak, Mekhi Christensen, Patrick Puffer, Chimaij Okafor",Alfred State (M),1:35.49,Relay
4x400,"Derek Walter, Eddie Scroxton, Mamadou Barry, Brian Clark",Alfred State (M),3:29.41#,Relay
DMR,"Maxwell Chiarella, Brian Clark, Mamadou Barry, Andrew Zielinski",Alfred State (M),11:23.11#,Relay
HJ,"Schreiber, Connor",Alfred State (M),1.51m,Individual
PV,"Riley, Brayden",Alfred State (M),3.25m,Individual
LJ,"Alexander, Aden",Alfred State (M),6.43m,Individual
TJ,"Alexander, Aden",Alfred State (M),13.40m,Individual
SP,"Lantrip, Tyler",Alfred State (M),12.77m,Individual
WT,"Raymond, Greg",Alfred State (M),16.42m,Individual
60,"Samuels, Tashae",Alfred State (F),9.00,Individual
200,"Rivet, Sarah",Alfred State (F),27.66#,Individual
300,"Evans, Charis",Alfred State (F),51.14,Individual
400,"Kraynik, Oli",Alfred State (F),58.50#,Individual
600,"Kraynik, Oli",Alfred State (F),1:42.56,Individual
800,"Kraynik, Oli",Alfred State (F),2:33.75#,Individual
Mile,"Popoff, Isabelle",Alfred State (F),5:29.49#,Individual
3000,"Kumpf, Hailey",Alfred State (F),11:40.16#,Individual
60H,"Evans, Charis",Alfred State (F),11.45,Individual
4x400,"Sarah Rivet, Lily Schnell, Isabelle Popoff, Oli Kraynik",Alfred State (F),4:15.72#,Relay
DMR,"Hailey Kumpf, Oli Kraynik, Olivia Plummer, Isabelle Popoff",Alfred State (F),14:04.01#,Relay
PV,"Kraynik, Oli",Alfred State (F),3.00m,Individual
LJ,"Snayczuk, Madison",Alfred State (F),4.81m,Individual
SP,"Stearns, Jileena",Alfred State (F),9.76m,Individual
WT,"Gillette, Mackenzie",Alfred State (F),12.66m,Individual
60,"Daniels, Dylan",Allen CC (M),7.18,Individual
200,"Daniels, Dylan",Allen CC (M),22.32,Individual
400,"Daniels, Dylan",Allen CC (M),50.14,Individual
Mile,"Ntozo, Prince",Allen CC (M),4:28.14,Individual
3000,"Ntozo, Prince",Allen CC (M),8:52.84,Individual
5000,"Flores, Leonardo",Allen CC (M),16:32.02,Individual
400,"Zuniga, Marilena",Allen CC (F),1:06.31,Individual
600y,"Zuniga, Marilena",Allen CC (F),1:39.05,Individual
800,"Zuniga, Marilena",Allen CC (F),2:39.39,Individual
5000,"Gerow, Lillyan",Allen CC (F),20:58.42,Individual
200,"Ramirez, Kevin",Bergen CC (M),23.09,Individual
300,"Ramirez, Kevin",Bergen CC (M),35.96,Individual
400,"Ramirez, Kevin",Bergen CC (M),50.97,Individual
800,"Henderson, Joseph",Bergen CC (M),2:04.56,Individual
Mile,"Henderson, Joseph",Bergen CC (M),4:38.34,Individual
3000,"Sorrentino, Micheal",Bergen CC (M),11:14.16,Individual
LJ,"Edwards, Jaden",Bergen CC (M),5.57m,Individual
SP,"Altieri, Joseph",Bergen CC (M),9.80m,Individual
60,"MacRae, Kylie",Bergen CC (F),9.91,Individual
200,"MacRae, Kylie",Bergen CC (F),33.47,Individual
Mile,"O'Loughlin, Vivian",Bergen CC (F),6:20.46,Individual
3000,"O'Loughlin, Vivian",Bergen CC (F),12:48.77,Individual
60,"Elizalde, Gabriela",Dodge City CC (F),7.94,Individual
200,"Gleim, Bianca",Dodge City CC (F),26.05,Individual
400,"Gleim, Bianca",Dodge City CC (F),57.58,Individual
600,"May, Caylee",Dodge City CC (F),1:43.25(600),Individual
600y,"May, Caylee",Dodge City CC (F),1:32.18,Individual
800,"Washington, Ava",Dodge City CC (F),2:23.56,Individual
1000,"Chavez, Sarai",Dodge City CC (F),3:15.41,Individual
Mile,"Washington, Ivy",Dodge City CC (F),5:41.25,Individual
3000,"Rodriguez, Norma",Dodge City CC (F),11:08.11,Individual
5000,"Rodriguez, Norma",Dodge City CC (F),19:17.25,Individual
60H,"McAdoo, Sequoya",Dodge City CC (F),9.53,Individual
4x400,"Gabriela Elizalde, Bianca Gleim, Sarai Chavez, Sequoya McAdoo",Dodge City CC (F),4:09.38,Relay
4x800,"Ivy Washington, Norma Rodriguez, Sarai Chavez, Ava Washington",Dodge City CC (F),9:54.00,Relay
DMR,"Ivy Washington, Bianca Gleim, Sarai Chavez, Ava Washington",Dodge City CC (F),12:39.42,Relay
LJ,"May, Caylee",Dodge City CC (F),5.10m,Individual
SP,"Sonday, Caitlyn",Dodge City CC (F),11.30m,Individual
WT,"Jaquez, Leslie",Dodge City CC (F),11.72m,Individual
55,"Mack, Noah",DuPage (M),6.52,Individual
60,"McMiller, Timothy",DuPage (M),6.90,Individual
200,"White, Weston",DuPage (M),22.17#,Individual
400,"Ruchaj, Chris",DuPage (M),51.40#,Individual
600,"Mendez, Alex",DuPage (M),1:29.03#,Individual
800,"Wolski, Addisu",DuPage (M),2:00.90#,Individual
Mile,"Wolski, Addisu",DuPage (M),4:34.06#,Individual
3000,"Diederich, Kevin",DuPage (M),9:04.50#,Individual
5000,"Diederich, Kevin",DuPage (M),15:37.23#,Individual
55H,"McAninch, Graham",DuPage (M),8.48,Individual
4x400,"Graham McAninch, Chris Ruchaj, Alex Mendez, Noah Mack",DuPage (M),3:25.47#,Relay
4x800,,DuPage (M),8:49.24#,Relay
HJ,"Cornelius, Ronan",DuPage (M),1.92m,Individual
PV,"Cokinis, Dominic",DuPage (M),4.20m,Individual
LJ,"Urban, Anothony",DuPage (M),6.43m,Individual
TJ,"Beard, Dayrion",DuPage (M),12.68m,Individual
SP,"Sawicki, Sterling",DuPage (M),11.94m,Individual
WT,"Lopez, Isaias",DuPage (M),15.14m,Individual
55,"Khamissi, Fonida",DuPage (F),8.13,Individual
60,"Karpiesiuk, Patrycja",DuPage (F),7.75,Individual
200,"Karpiesiuk, Patrycja",DuPage (F),25.52#,Individual
400,"Logsdon, Ellie",DuPage (F),1:00.07#,Individual
800,"Solis, Carmen",DuPage (F),2:37.83#,Individual
Mile,"Solis, Carmen",DuPage (F),5:38.25#,Individual
3000,"Solis, Carmen",DuPage (F),11:07.81#,Individual
4x400,"Carmen Solis, Ellie Logsdon, Molly Morris, Patrycja Karpiesiuk",DuPage (F),4:35.42#,Relay
PV,"Karpiesiuk, Patrycja",DuPage (F),3.41m,Individual
LJ,"Morris, Molly",DuPage (F),4.84m,Individual
TJ,"Bleers, Tessa",DuPage (F),9.37m,Individual
60,"French, Raymond",Essex CC (M),6.95,Individual
200,"French, Raymond",Essex CC (M),21.25,Individual
400,"French, Raymond",Essex CC (M),47.25,Individual
500,"Smith, jahmani",Essex CC (M),1:06.47,Individual
600,"French, Raymond",Essex CC (M),1:23.50#,Individual
800,"Scott, Romar",Essex CC (M),1:57.63,Individual
1000,"Scott, Romar",Essex CC (M),2:41.36,Individual
Mile,"Frue, Khondale",Essex CC (M),4:46.38,Individual
3000,"Kemboi, Simon",Essex CC (M),9:26.81,Individual
4x400,"Daniel Barton, jahmani Smith, Romar Scott, Raymond French",Essex CC (M),3:17.88,Relay
4x800,,Essex CC (M),7:54.02,Relay
DMR,"Daniel Barton, Khandale Frue, Letlotlo Mohubedu, Simon Kemboi",Essex CC (M),11:13.77,Relay
60,"Martin, Ashia",Essex CC (F),7.88,Individual
200,"Baker, Kimberly",Essex CC (F),26.17,Individual
400,"Baker, Kimberly",Essex CC (F),59.06,Individual
600,"Douglas, Serena",Essex CC (F),1:42.78#,Individual
800,"Douglas, Serena",Essex CC (F),2:18.81,Individual
Mile,"Douglas, Serena",Essex CC (F),5:42.25,Individual
3000,"Douglas, Serena",Essex CC (F),12:05.72,Individual
4x400,"Kimberly Baker, Kiana Casimir, Serena Douglas, Ashia Martin",Essex CC (F),4:14.94#,Relay
55,"Stoner , Jacob",Hagerstown CC (M),6.84,Individual
60,"Stoner , Jacob",Hagerstown CC (M),7.29,Individual
200,"Stoner , Jacob",Hagerstown CC (M),23.08,Individual
400,"McGreevy, Finn",Hagerstown CC (M),58.10,Individual
600,"Fisher, Liam",Hagerstown CC (M),1:31.29,Individual
800,"Bildheiser, Thomas",Hagerstown CC (M),1:54.93,Individual
Mile,"Bildheiser, Thomas",Hagerstown CC (M),4:31.66,Individual
3000,"McGreevy, Finn",Hagerstown CC (M),9:53.30,Individual
5000,"McGreevy, Finn",Hagerstown CC (M),17:12.09,Individual
55H,"Kelly, Michael",Hagerstown CC (M),8.00,Individual
60H,"Kelly, Michael",Hagerstown CC (M),8.51,Individual
4x400,"Jacob Stoner, Jake Scallion, Thomas Bildheiser, Liam Fisher",Hagerstown CC (M),3:31.84,Relay
4x800,"Thomas Bildheiser, Jackson Mundey, Jake Scallion, Liam Fisher",Hagerstown CC (M),8:16.57#,Relay
DMR,"Thomas Bildheiser, Christopher Snead, Jake Scallion, Jackson Mundey",Hagerstown CC (M),10:38.40,Relay
PV,"Ecker, Brayden",Hagerstown CC (M),4.69m,Individual
LJ,"Scheider, Nathan",Hagerstown CC (M),5.49m,Individual
55,"Silvera, Amaya",Hagerstown CC (F),8.19,Individual
60,"Silvera, Amaya",Hagerstown CC (F),8.83(55),Individual
200,"Silvera, Amaya",Hagerstown CC (F),31.52#,Individual
300,"Jarrell, Morgan",Hagerstown CC (F),47.94,Individual
600,"Jarrell, Morgan",Hagerstown CC (F),1:46.79,Individual
800,"Jarrell, Morgan",Hagerstown CC (F),2:30.42,Individual
Mile,"Tellez, Rebecca",Hagerstown CC (F),5:42.82#,Individual
3000,"Tellez, Rebecca",Hagerstown CC (F),11:07.78#,Individual
5000,"Tellez, Rebecca",Hagerstown CC (F),19:40.39,Individual
4x200,"Morgan Jarrell, Michaela Carney, Amaya Silvera, Mikaila Ek",Hagerstown CC (F),2:16.68,Relay
4x400,"Rebecca Tellez, Maggie Thompson, Morgan Jarrell, Arial Crawford",Hagerstown CC (F),4:46.02#,Relay
4x800,"Rebecca Tellez, Morgan Jarrell, Maggie Thompson, Arial Crawford",Hagerstown CC (F),11:00.59#,Relay
DMR,"Morgan Jarrell, Michaela Carney, Arial Crawford, Rebecca Tellez",Hagerstown CC (F),13:42.03,Relay
HJ,"Cook, Gabrielle",Hagerstown CC (F),1.77m,Individual
PV,"Ek, Mikaila",Hagerstown CC (F),3.41m,Individual
TJ,"Faith, Aidan",Hagerstown CC (F),10.32m,Individual
60,"Buck, Keon",Meridian CC (M),6.82,Individual
200,"Buck, Keon",Meridian CC (M),21.21,Individual
400,"Thomas Jr., James",Meridian CC (M),47.98,Individual
800,"Darden, Sha'Kenye",Meridian CC (M),1:59.47,Individual
Mile,"Englebert, Robert",Meridian CC (M),4:31.35,Individual
60H,"Bernard, Kylan",Meridian CC (M),7.79,Individual
4x400,"Keon Buck, Tracy Walton, James Thomas Jr., Kylan Bernard",Meridian CC (M),3:15.68,Relay
HJ,"Lowery, Isaiah",Meridian CC (M),1.89m,Individual
LJ,"Chikomba, Tafadzwa",Meridian CC (M),7.65m,Individual
60,"Lindsay, Taliyah",Meridian CC (F),7.64,Individual
200,"Lindsay, Taliyah",Meridian CC (F),24.32,Individual
400,"Higgins, Cadese",Meridian CC (F),59.03,Individual
800,"Chikara, Privillege",Meridian CC (F),2:08.08,Individual
Mile,"Chikara, Privillege",Meridian CC (F),4:52.56,Individual
LJ,"Rone, Charm",Meridian CC (F),5.30m,Individual
TJ,"Patton, Ashanti",Meridian CC (F),11.32m,Individual
60,"Gallant, Cohen",Vincennes (M),6.92,Individual
200,"Jordan, Desroy",Vincennes (M),21.68,Individual
400,"Jordan, Desroy",Vincennes (M),47.44,Individual
600,"Jordan, Desroy",Vincennes (M),1:17.31,Individual
800,"Manuel, Bryaun",Vincennes (M),2:00.00,Individual
1000,"Stanford, Isaac",Vincennes (M),2:28.40,Individual
Mile,"Stanford, Isaac",Vincennes (M),4:15.19,Individual
3000,"Hostetler, Caden",Vincennes (M),9:02.76,Individual
5000,"Noel, Cody",Vincennes (M),15:50.35,Individual
60H,"Kozjakovs, Olegs",Vincennes (M),8.87,Individual
4x400,"Olamipo Ladipo, Clinton Laguerre, Tumaini Skinner, Desroy Jordan",Vincennes (M),3:16.58,Relay
4x800,"Bryaun Manuel, Tanner Spence, Isaac Stanford, Brahym Sakka",Vincennes (M),7:51.71,Relay
DMR,"Brahym Sakka, Desroy Jordan, Isaac Stanford, Clinton Laguerre",Vincennes (M),10:13.73,Relay
HJ,"Kozjakovs, Olegs",Vincennes (M),1.91m,Individual
PV,"Kozjakovs, Olegs",Vincennes (M),5.00m,Individual
LJ,"Kozjakovs, Olegs",Vincennes (M),7.03m,Individual
SP,"Kozjakovs, Olegs",Vincennes (M),15.02m,Individual
WT,"Wickham, Jacob",Vincennes (M),13.10m,Individual
Hep,"Kozjakovs, Olegs",Vincennes (M),5327,Individual
60,"Weaver, Gwen",Vincennes (F),9.47,Individual
200,"Weaver, Gwen",Vincennes (F),31.88#,Individual
800,"Silva, Emilly",Vincennes (F),2:22.57,Individual
1000,"Silva, Emilly",Vincennes (F),3:05.20,Individual
Mile,"Fuller, Adi",Vincennes (F),5:29.72,Individual
60H,"Gumpo, Zinzile",Vincennes (F),9.84,Individual
4x400,"Emilly Silva, Adi Fuller, Jasmyn Self, Grayson Haynes",Vincennes (F),4:55.30,Relay
4x800,,Vincennes (F),10:20.98,Relay
DMR,"Emilly Silva, Jasmyn Self, Adi Fuller, Zinzile Gumpo",Vincennes (F),12:56.84,Relay
PV,"Do Amaral Salvi, Sophia",Vincennes (F),4.02m,Individual
SP,"Davis, Madison",Vincennes (F),12.09m,Individual
WT,"Wagler, Natalie",Vincennes (F),8.68m,Individual
60,"Lutke, Caleb",Mohawk Valley CC (M),7.45,Individual
200,"Lutke, Caleb",Mohawk Valley CC (M),23.37#,Individual
300,"Kapo, Adin",Mohawk Valley CC (M),41.92,Individual
400,"Sobolewski, Isaiah",Mohawk Valley CC (M),53.33#,Individual
